title,year,Ratings,Directors,cast,genre
The Conjuring 2,2016,80,James Wan,"Patrick Wilson , Vera Farmiga , Madison Wolfe , Frances O'Connor",Horror
Ginger Snaps,2000,90,John Fawcett,"Emily Perkins , Katharine Isabelle , Kris Lemche , Mimi Rogers",Horror
Goodnight Mommy,2014,85,Veronika Franz,"Susanne Wuest , Elias Schwarz , Lukas Schwarz , Hans Escher",Horror
Julia's Eyes,2010,90,Guillem Morales,"Belén Rueda , Lluís Homar , Pablo Derqui , Francesc Orella",Horror
Sisters,1973,85,Brian De Palma,"Margot Kidder , Jennifer Salt , Charles Durning , William Finley",Horror
Cargo,2017,87,Ben Howling,"Martin Freeman , Anthony Hayes , Susie Porter , Simone Landers",Horror
Slither,2006,87,James Gunn,"Nathan Fillion , Elizabeth Banks , Michael Rooker , Gregg Henry",Horror
House on Haunted Hill,1959,78,William Castle,"Vincent Price , Carol Ohmart , Richard Long , Alan Marshal",Horror
Poltergeist,1982,88,Tobe Hooper,"Craig T. Nelson , JoBeth Williams , Beatrice Straight , Dominique Dunne",Horror
The Girl With All the Gifts,2016,85,Colm McCarthy,"Gemma Arterton , Glenn Close , Paddy Considine , Anamaria Marinca",Horror
The Thing,1982,84,John Carpenter,"Kurt Russell , A. Wilford Brimley , T.K. Carter , Richard Dysart",Horror
Dead Alive,1992,89,Peter Jackson,"Timothy Balme , Diana Peñalver , Elizabeth Moody , Ian Watkin",Horror
Freaks,2018,88,Adam Stein,"Emile Hirsch , Bruce Dern , Lexy Kolker , Amanda Crew",Horror
The Tenant,1976,82,Roman Polanski,"Roman Polanski , Isabelle Adjani , Melvyn Douglas , Shelley Winters",Horror
The Descent,2005,86,Neil Marshall,"Shauna Macdonald , Natalie Mendoza , Alex Reid , Saskia Mulder",Horror
Better Watch Out,2016,89,Chris Peckover,"Levi Miller , Olivia DeJonge , Ed Oxenbould , Dacre Montgomery",Horror
An American Werewolf in London,1981,89,John Landis,"David Naughton , Jenny Agutter , Griffin Dunne , John Woodvine",Horror
Doctor Sleep,2019,78,Mike Flanagan,"Ewan McGregor , Rebecca Ferguson , Kyliegh Curran , Cliff Curtis",Horror
The Omen,1976,84,Richard Donner,"Gregory Peck , Lee Remick , David Warner , Billie Whitelaw",Horror
Creepy,2016,90,Kiyoshi Kurosawa,"Hidetoshi Nishijima , Yuko Takeuchi , Masahiro Higashide , Teruyuki Kagawa",Horror
Come to Daddy,2019,87,Ant Timpson,"Elijah Wood , Stephen McHattie , Martin Donovan , Michael Smiley",Horror
Crawl,2019,84,Alexandre Aja,"Kaya Scodelario , Barry Pepper , Morfydd Clark , Ross Anderson",Horror
The Exorcist,1973,84,William Friedkin,"Ellen Burstyn , Linda Blair , Max von Sydow , Lee J. Cobb",Horror
The Invitation,2015,89,Karyn Kusama,"Logan Marshall-Green , Tammy Blanchard , Michiel Huisman , Emayatzy Corinealdi",Horror
Hounds of Love,2016,88,Ben Young,"Emma Booth , Ashleigh Cummings , Stephen Curry , Susie Porter",Horror
1922,2017,91,Zak Hilditch,"Thomas Jane , Neal McDonough , Molly Parker , Brian d'Arcy James",Horror
The Abominable Dr. Phibes,1971,88,Robert Fuest,"Vincent Price , Joseph Cotten , Terry-Thomas , Hugh Griffith",Horror
Martin,1978,90,George A. Romero,"John Amplas , Lincoln Maazel , Christine Forrest , Elyane Nadeau",Horror
House,1977,90,Nobuhiko Ôbayashi,"Kimiko Ikegami , Ai Matsubara , Miki Jinbo , Eriko Tanaka",Horror
Henry: Portrait of a Serial Killer,1986,89,John McNaughton,"Michael Rooker , Tracy Arnold , Tom Towles , Anne Bartoletti",Horror
Rare Exports: A Christmas Tale,2010,90,Jalmari Helander,"Onni Tommila , Jorma Tommila , Ilmari Järvenpää , Peeter Jakobi",Horror
Candyman,2021,84,Nia DaCosta,"Yahya Abdul-Mateen II , Teyonah Parris , Nathan Stewart-Jarrett , Colman Domingo",Horror
The Orphanage,2007,87,J. A. Bayona,"Belén Rueda , Fernando Cayo , Geraldine Chaplin , Montserrat Carulla",Horror
The Dead Zone,1983,88,David Cronenberg,"Christopher Walken , Brooke Adams , Tom Skerritt , Herbert Lom",Horror
Bone Tomahawk,2015,91,S. Craig Zahler,"Kurt Russell , Patrick Wilson , Richard Jenkins , Matthew Fox",Horror
Duel,1971,89,Steven Spielberg,"Dennis Weaver , Tim Herbert , Charles Seel , Eddie Firestone",Horror
House of Usher,1960,84,Roger Corman,"Vincent Price , Myrna Fahey , Mark Damon , Harry Ellerbe",Horror
The Blair Witch Project,1999,86,Daniel Myrick,"Heather Donahue , Michael C. Williams , Joshua Leonard , Bob Griffith",Horror
The Devil's Candy,2015,92,Sean Byrne,"Ethan Embry , Shiri Appleby , Pruitt Taylor Vince , Kiara Glasco",Horror
Gerald's Game,2017,91,Mike Flanagan,"Carla Gugino , Bruce Greenwood , Henry Thomas , Carel Struycken",Horror
28 Days Later,2002,87,Danny Boyle,"Cillian Murphy , Noah Huntley , Naomie Harris , Brendan Gleeson",Horror
Prevenge,2016,91,Alice Lowe,"Kate Dickie , Gemma Whelan , Alice Lowe , Kayvan Novak",Horror
Demon,2015,92,Marcin Wrona,"Itay Tiran , Tomasz Schuchardt , Andrzej Grabowski , Adam Woronowicz",Horror
Horror of Dracula,1958,90,Terence Fisher,"Peter Cushing , Christopher Lee , Michael Gough , Melissa Stribling",Horror
Fright Night,1985,82,Tom Holland,"Chris Sarandon , William Ragsdale , Roddy McDowall , Amanda Bearse",Horror
The Wicker Man,1973,89,Robin Hardy,"Edward Woodward , Christopher Lee , Britt Ekland , Diane Cilento",Horror
Nina Forever,2015,93,Ben Blaine,"Fiona O'Shaughnessy , Abigail Hardingham , Cian Barry , David Troughton",Horror
The Texas Chain Saw Massacre,1974,88,Tobe Hooper,"Marilyn Burns , Gunnar Hansen , Allen Danziger , Paul A. Partain",Horror
The Conjuring,2013,86,James Wan,"Vera Farmiga , Patrick Wilson , Lili Taylor , Ron Livingston",Horror
Misery,1990,91,Rob Reiner,"James Caan , Kathy Bates , Frances Sternhagen , Richard Farnsworth",Horror
Village of the Damned,1960,93,Wolf Rilla,"George Sanders , Barbara Shelley , Michael Gwynne , Laurence Naismith",Horror
Color Out of Space,2019,86,Richard Stanley,"Nicolas Cage , Joely Richardson , Tommy Chong , Madeleine Arthur",Horror
Let Me In,2010,88,Matt Reeves,"Kodi Smit-McPhee , Chloë Grace Moretz , Richard Jenkins , Cara Buono",Horror
Halloween,2018,79,David Gordon Green,"Jamie Lee Curtis , Judy Greer , Andi Matichak , Will Patton",Horror
Theatre of Blood,1973,88,Douglas Hickox,"Vincent Price , Diana Rigg , Robert Morley , Ian Hendry",Horror
Attack the Block,2011,90,Joe Cornish,"John Boyega , Jodie Whittaker , Alex Esmail , Leeon Jones",Horror
Eraserhead,1977,90,David Lynch,"John Nance , Charlotte Stewart , Allen Joseph , Jeanne Bates",Horror
The Devil's Backbone,2001,93,Guillermo del Toro,"Marisa Paredes , Eduardo Noriega , Federico Luppi , Fernando Tielve",Horror
Housebound,2014,95,Gerard Johnstone,"Morgana O'Reilly , Rima Te Wiata , Glen-Paul Waru , Cameron Rhodes",Horror
We Are Still Here,2015,95,Ted Geoghegan,"Barbara Crampton , Andrew Sensenig , Lisa Marie , Larry Fessenden",Horror
The Bird With the Crystal Plumage,1970,85,Dario Argento,"Tony Musante , Suzy Kendall , Eva Renzi , Enrico Maria Salerno",Horror
The Phantom of the Opera,1925,90,Rupert Julian,"Lon Chaney , Mary Philbin , Norman Kerry , Arthur Edmund Carewe",Horror
The Wolf Man,1941,90,George Waggner,"Lon Chaney , Claude Rains , Ralph Bellamy , Evelyn Ankers",Horror
Dawn of the Dead,1978,92,George Romero,"David Emge , Ken Foree , Gaylen Ross , Scott H. Reiniger",Horror
Dr. Jekyll and Mr. Hyde,1931,91,Rouben Mamoulian,"Fredric March , Miriam Hopkins , Rose Hobart , Holmes Herbert",Horror
Shaun of the Dead,2004,92,Edgar Wright,"Simon Pegg , Kate Ashfield , Lucy Davis , Nick Frost",Horror
The Endless,2017,92,Aaron Moorhead,"Aaron Moorhead , Justin Benson , Callie Hernandez , Tate Ellington",Horror
Don't Breathe,2016,88,Fede Alvarez,"Jane Levy , Dylan Minnette , Daniel Zovatto , Stephen Lang",Horror
Re-Animator,1985,94,Stuart Gordon,"Jeffrey Combs , Bruce Abbott , Barbara Crampton , David Gale",Horror
Zombieland,2009,89,Ruben Fleischer,"Woody Harrelson , Jesse Eisenberg , Emma Stone , Abigail Breslin",Horror
It Comes at Night,2017,88,Trey Edward Shults,"Joel Edgerton , Christopher Abbott , Carmen Ejogo , Riley Keough",Horror
The Shining,1980,82,Stanley Kubrick,"Jack Nicholson , Shelley Duvall , Danny Lloyd , Scatman Crothers",Horror
Dracula,1931,94,Tod Browning,"Bela Lugosi , Edward Van Sloan , Dwight Frye , David Manners",Horror
Deep Red,1975,93,Dario Argento,"David Hemmings , Daria Nicolodi , Gabriele Lavia , Clara Calamai",Horror
The Fly,1986,93,David Cronenberg,"Jeff Goldblum , Geena Davis , John Getz , Joy Boushel",Horror
A Nightmare on Elm Street,1984,95,Wes Craven,"John Saxon , Ronee Blakley , Heather Langenkamp , Amanda Wyss",Horror
The Mummy,1932,89,Karl Freund,"Boris Karloff , Zita Johann , David Manners , Edward Van Sloan",Horror
